fecha,precio_promedio_real,precio_promedio_pred
2013-08-06,153.59600733333335,164.0458348167142
2013-08-07,154.25852533333332,163.03141677812732
2013-08-08,188.6671083333333,162.02316320199745
2013-08-09,188.90392366666663,161.02103630575039
2013-08-10,189.606083,160.0249985383848
2013-08-11,177.055017,159.03501257905316
2013-08-12,163.39788566666667,158.05104133565084
2013-08-13,141.43410433333335,157.07304794341428
2013-08-14,139.71783233333332,156.10099576352752
2013-08-15,134.77656266666668,155.13484838173744
2013-08-16,157.7693,154.1745696069772
2013-08-17,163.28822966666667,153.22012346999855
2013-08-18,137.61875333333333,152.27147422201213
2013-08-19,135.68462566666668,151.3285863333363
2013-08-20,138.47129633333333,150.3914244920542
2013-08-21,120.92453366666666,149.45995360267904
2013-08-22,123.407384,148.5341387848276
2013-08-23,137.52555133333334,147.61394537190185
2013-08-24,131.73533899999998,146.6993389097786
2013-08-25,116.57821733333334,145.79028515550723
2013-08-26,129.476865,144.8867500760155
2013-08-27,106.59983633333331,143.98869984682293
2013-08-28,104.630074,143.09610085076264
2013-08-29,93.424751,142.20891967671048
2013-08-30,134.17772066666666,141.32712311832225
2013-08-31,147.6402906666667,140.45067817277857
2013-09-01,139.150178,139.84762670656087
2013-09-02,160.231325,138.98178678611802
2013-09-03,147.026512,138.12120067877458
2013-09-04,143.87482766666668,137.2658361834124
2013-09-05,138.859029,136.41566129627716
2013-09-06,133.063737,135.57064420976855
2013-09-07,120.11854933333332,134.73075331123803
2013-09-08,104.044796,133.89595718179402
2013-09-09,134.87528566666666,133.06622459511425
2013-09-10,143.51561366666667,132.24152451626554
2013-09-11,149.853926,131.4218261005308
2013-09-12,144.53348100000002,130.6070986922431
2013-09-13,157.30021366666668,129.79731182362704
2013-09-14,152.22527533333331,128.992435213647
2013-09-15,138.61457733333333,128.19243876686284
2013-09-16,146.10017666666667,127.39729257229205
2013-09-17,155.75400299999998,126.6069669022795
2013-09-18,159.727508,125.82143221137363
2013-09-19,154.16330166666668,125.04065913520978
2013-09-20,135.88042900000002,124.26461848940018
2013-09-21,119.155981,123.49328126843102
2013-09-22,118.062333,122.72661864456602
2013-09-23,138.10767366666667,121.96460196675676
2013-09-24,167.08194466666666,121.2072027595599
2013-09-25,162.85100366666666,120.45439272206072
2013-09-26,158.36835433333334,119.7061437268035
2013-09-27,152.20806733333333,118.96242781872841
2013-09-28,152.44670766666667,118.22321721411477
2013-09-29,150.68503433333333,117.48848429953097
2013-09-30,148.29730266666667,116.75820163079077
2013-10-01,147.63699433333332,116.29176902903528
2013-10-02,148.92528366666667,115.57030519122455
2013-10-03,170.76407533333335,114.85321027182917
2013-10-04,156.35826966666664,114.1404574933344
2013-10-05,153.77834133333332,113.43202024234743
2013-10-06,122.81125000000002,112.72787206859145
2013-10-07,172.228782,112.02798668390591
2013-10-08,169.371872,111.33233796125288
2013-10-09,176.52889466666667,110.64089993372949
2013-10-10,163.81670066666666,109.95364679358653
2013-10-11,163.70701966666667,109.27055289125289
2013-10-12,171.03372833333333,108.59159273436613
2013-10-13,173.36619733333336,107.91674098680892
2013-10-14,180.53926733333333,107.24597246775134
2013-10-15,176.89198433333334,106.57926215069924
2013-10-16,194.6416323333333,105.91658516254817
2013-10-17,190.77662766666663,105.2579167826433
2013-10-18,186.6235313333333,104.60323244184507
2013-10-19,184.956298,103.95250772160045
2013-10-20,202.0045003333333,103.30571835302007
2013-10-21,200.8550003333333,102.66284021596086
2013-10-22,259.2721046666666,102.02384933811442
2013-10-23,263.706132,101.38872189410085
2013-10-24,265.0747606666667,100.75743420456834
2013-10-25,269.51173,100.12996273529797
2013-10-26,276.279076,99.50628409631435
2013-10-27,260.4473586666667,98.88637504100144
2013-10-28,291.92151033333334,98.2702124652239
2013-10-29,309.71179233333334,97.65777340645386
2013-10-30,383.8123963333333,97.04903504290293
2013-10-31,382.7351596666667,96.44397469265961
2013-11-01,420.3982593333333,96.1106444798554
2013-11-02,350.4644103333333,95.51287266571914
2013-11-03,277.8478406666667,94.91871164987052
2013-11-04,394.771177,94.32813930138485
2013-11-05,331.43141966666667,93.74113362498002
2013-11-06,294.17218133333336,93.15767276018502
2013-11-07,229.56075933333327,92.5777349805138
2013-11-08,190.95697066666665,92.00129869264396
2013-11-09,169.146726,91.42834243560061
2013-11-10,156.58082266666668,90.85884487994527
2013-11-11,178.36597333333336,90.29278482696951
2013-11-12,192.113843,89.7301412078939
2013-11-13,183.97817433333333,89.17089308307148
2013-11-14,169.268789,88.61501964119638
2013-11-15,163.415288,88.06250019851723
2013-11-16,155.130186,87.51331419805531
2013-11-17,167.53685966666666,86.96744120882755
2013-11-18,167.52864566666668,86.42486092507433
2013-11-19,175.67329866666668,85.88555316549196
2013-11-20,173.754996,85.34949787246984
2013-11-21,178.8775126666667,84.81667511133242
2013-11-22,174.49957966666668,84.28706506958562
2013-11-23,166.66564566666668,83.76064805616802
2013-11-24,169.437489,83.2374045007066
2013-11-25,170.80035333333333,82.71731495277697
2013-11-26,172.34368833333335,82.20036008116827
2013-11-27,153.5492396666667,81.68652067315246
2013-11-28,175.61470533333332,81.1757776337581
2013-11-29,176.970702,80.66811198504867
2013-11-30,230.709618,80.16350486540522
2013-12-01,183.94701366666663,79.92136462593281
2013-12-02,208.31518366666668,79.42281844127446
2013-12-03,172.02181933333335,78.92727489162321
2013-12-04,168.59210433333334,78.43471557354475
2013-12-05,152.73425733333332,77.94512219640113
2013-12-06,159.68284833333334,77.45847658165945
2013-12-07,179.01576633333332,76.9747606622048
2013-12-08,173.56249666666668,76.49395648165729
